Date,High,Low,Open,Close,Volume,Adj Close
2018-07-18,32.0,31.0,31.0,31.5,11300,31.5
2018-07-19,31.799999237060547,31.0,31.5,31.0,25300,31.0
2018-07-20,31.799999237060547,30.5,31.0,31.0,51900,31.0
2018-07-23,32.5,30.5,31.5,32.5,29500,32.5
2018-07-24,32.20000076293945,31.0,32.0,31.0,20900,31.0
2018-07-25,32.0,31.0,31.0,31.5,37600,31.5
2018-07-26,31.5,31.0,31.5,31.5,2500,31.5
2018-07-27,31.5,30.5,31.0,31.5,15100,31.5
2018-07-30,31.5,30.5,31.5,31.0,15900,31.0
2018-07-31,31.799999237060547,30.799999237060547,31.0,31.0,10700,31.0
2018-08-01,32.0,30.5,31.0,31.0,24900,31.0
2018-08-02,31.0,29.5,31.0,30.5,18700,30.5
2018-08-03,31.5,29.5,31.0,29.5,24400,29.5
2018-08-06,30.5,29.5,29.5,30.0,14800,30.0
2018-08-07,30.799999237060547,29.5,30.0,29.5,22500,29.5
2018-08-08,30.299999237060547,29.0,29.5,29.5,24500,29.5
2018-08-09,30.299999237060547,29.5,29.5,29.5,26500,29.5
2018-08-10,29.799999237060547,28.600000381469727,29.5,29.0,28900,29.0
2018-08-13,29.5,28.0,29.5,29.0,34500,29.0
2018-08-14,29.0,28.5,28.5,29.0,17800,29.0
2018-08-15,29.0,28.5,29.0,28.5,9500,28.5
2018-08-16,30.0,28.5,28.5,29.0,21300,29.0
2018-08-17,30.0,28.5,29.0,30.0,25500,30.0
2018-08-20,30.0,29.0,29.5,29.5,27100,29.5
2018-08-21,30.0,29.0,29.5,29.0,12200,29.0
2018-08-22,29.5,28.5,29.0,29.5,11100,29.5
2018-08-23,29.5,28.5,29.5,28.5,36400,28.5
2018-08-24,29.5,28.5,28.5,29.0,11500,29.0
2018-08-27,30.0,28.5,29.0,29.0,17600,29.0
2018-08-28,29.5,29.0,29.0,29.0,8000,29.0
2018-08-29,29.399999618530273,28.5,29.0,29.0,19200,29.0
2018-08-30,29.0,28.5,29.0,29.0,7600,29.0
2018-08-31,29.0,28.0,29.0,28.5,18100,28.5
2018-09-04,29.0,28.0,28.5,29.0,10900,29.0
2018-09-05,29.0,28.0,28.5,28.0,11200,28.0
2018-09-06,28.5,28.0,28.0,28.0,9600,28.0
2018-09-07,28.5,27.0,28.0,27.5,26100,27.5
2018-09-10,27.5,26.299999237060547,27.0,26.5,29600,26.5
2018-09-11,27.5,26.5,26.5,27.0,12300,27.0
2018-09-12,28.0,27.0,27.0,27.0,20700,27.0
2018-09-13,28.0,27.0,27.0,27.5,3600,27.5
2018-09-14,28.0,27.0,27.5,28.0,7800,28.0
2018-09-17,28.0,27.5,27.5,27.5,2500,27.5
2018-09-18,28.0,26.0,27.5,26.5,18200,26.5
